index,predicted-year,id
1486,1983,27308
1487,2003,12880
1488,2013,46920
1489,2006,70392
1490,1997,46266
1491,2008,43370
1492,2004,41797
1493,1984,49930
1494,2005,16427
1495,2000,17704
1496,2009,59718
1497,2008,14590
1498,2006,13584
1499,2006,74125
1500,2000,4534
1501,1995,59023
1502,2012,73800
1503,2003,56372
1504,2000,730
1505,2006,2333
1506,1982,26946
1507,2008,65919
1508,2011,54207
1509,2005,61471
1510,2012,44931
1511,2000,2539
1512,1996,45927
1513,2005,6761
1514,2000,29852
1515,2006,59742
1516,1998,50776
1517,1972,73670
1518,1998,60659
1519,2010,44082
1520,2000,32488
1521,2004,71719
1522,1987,36118
1523,1995,43133
1524,2000,18467
1525,1982,26795
1526,1985,48429
1527,1986,58868
1528,2008,47450
1529,2009,66524
1530,1984,70982
1531,1994,29532
1532,2007,38324
1533,1980,29892
1534,2003,1948
1535,2008,66845
1536,2000,10583
1537,2000,60707
1538,1984,14855
1539,1994,47774
1540,1974,7383
1541,2000,15927
1542,1997,49398
1543,1997,4484
1544,2010,17497
1545,1980,49692
1546,2003,15416
1547,1982,71322
1548,1997,55361
1549,2000,72758
1550,2008,56618
1551,1991,1343
1552,2008,21844
1553,2000,66248
1554,1993,44884
1555,2008,56223
1556,1987,58562
1557,1986,11446
1558,1985,44083
1559,1976,16644
1560,2000,31853
1561,1996,20830
1562,1976,25655
1563,2008,23162
1564,2006,25513
1565,1997,56886
1566,2008,10184
1567,2010,25049
1568,1974,14991
1569,2003,57726
1570,2008,10761
1571,2008,22925
1572,1996,29885
1573,1997,33890
1574,2000,69237
1575,2008,64194
1576,2007,58650
1577,1982,52975
1578,1968,57152
1579,2013,17720
1580,2013,29259
1581,1997,36270
1582,2007,51617
1583,1972,48312
1584,1997,30038
1585,2002,42621
1586,1960,23567
1587,2000,8483
1588,2000,65191
1589,2007,33978
1590,1998,50470
1591,1987,34138
1592,1997,48327
1593,1986,52842
1594,2000,42785
1595,2008,39597
1596,1987,42082
1597,2000,71675
1598,1997,63477
1599,2003,16045
1600,1997,25060
1601,2008,3679
1602,2007,71589
1603,1999,66262
1604,1991,57620
1605,2002,24966
1606,2010,56486
1607,1997,28535
1608,1965,5824
1609,1998,18058
1610,2000,10695
1611,2000,17550
1612,1974,40679
1613,1997,39740
1614,1998,20321
1615,1999,29077
1616,2000,4987
1617,1991,46657
1618,1960,73157
1619,2008,53681
1620,2003,32892
1621,2003,223
1622,1984,63215
1623,2013,37827
1624,1984,71935
1625,2012,11576
1626,2000,39681
1627,1974,69707
1628,2000,9303
1629,2009,61621
1630,2000,52560
1631,1982,73101
1632,1990,57831
1633,2011,19391
1634,2013,67971
1635,2003,40471
1636,2003,42399
1637,1997,41224
1638,1974,2817
1639,2000,61851
1640,2004,42547
1641,2003,49275
1642,2003,7665
1643,1991,55214
1644,2005,18816
1645,2000,44140
1646,2000,41908
1647,1998,65028
1648,2011,26885
1649,1986,7303
1650,2013,31605
1651,1974,1617
1652,1997,15949
1653,1991,21469
1654,2000,25223
1655,2010,795
1656,2000,62377
1657,2003,9853
1658,1998,13629
1659,1983,66317
1660,1997,19697
1661,2008,42344
1662,2002,43598
1663,1995,58427
1664,1994,62735
1665,1986,8908
1666,1997,15432
