"","count","RR2","expected","RR1","DistanceToRadar","Composite","HybridScan","HydrometeorType","Kdp","RadarQualityIndex","RR3","Reflectivity","ReflectivityQC","RhoHV","Velocity","Zdr","LogWaterVolume","MassWeightedMean","MassWeightedSD","Expected"
"369","43",0.41692,0,0.107874368421053,19.1052631578947,NA,NA,8.63157894736842,0,0.748681052631579,NA,15.6578947368421,NA,1.01886036842105,NA,-0.263157894736842,NA,NA,NA,0
"380","44",0.425931,0,0.0236628333333333,64.0555555555556,9.55555555555556,NA,3.33333333333333,0,0.660744833333333,NA,7.97222222222222,NA,1.021667,NA,0.222222222222222,NA,NA,NA,0
"391","45",NA,0,NA,86,NA,NA,8,0,0.11746357,NA,9.3,NA,0.7613333,2.1,1.56875,NA,NA,NA,0
"402","46",1.73561116666667,0.3,0.946697,22.0909090909091,NA,NA,4.40909090909091,0,0.835801409090909,NA,21.9545454545455,NA,0.984848954545455,NA,0.309659090909091,NA,NA,NA,0.3
"413","47",1.4391699,0,2.585709,76,25.2,23.95,9,0,0.1983546,-0.5190885,25.2,25.2,0.9993343,-7.1,-0.80625,-9.743390712855,1.372323560852,0.5192174342403,0
"424","48",0.461347,1,0.0483665454545454,48,NA,24.0454545454545,4.63636363636364,0,0.788724636363636,NA,18.7272727272727,NA,0.989243,1.59090909090909,0.920454545454545,NA,NA,NA,1
"435","49",NA,0,0,0,NA,NA,8,0,999,NA,0.5,NA,1.05167,NA,6,NA,NA,NA,0
"447","50",NA,0,0,31,NA,NA,8,0,499.556639425,NA,-1,NA,0.830834,NA,1.765625,NA,NA,NA,0
"458","51",NA,0,0,26,NA,NA,8,0,0.1271333,NA,-3.8,NA,0.4803334,NA,2.8375,NA,NA,NA,0
"469","52",NA,0,0,14,10.5,17.5,9,0,0.947751,NA,10.5,10.5,1.05167,-99901,0.3125,-13.7999160799,1.64063050315,0.659300355645,0
"480","53",NA,0.3,0,22,15.6,NA,8.4,0,0.2595858,NA,16.35,NA,1.035668,NA,0.9125,NA,NA,NA,0.3
"491","54",1.02502654545455,0.8,1.02502654545455,21,21.5909090909091,20.9545454545455,1.27272727272727,0,0.908657909090909,1.57696286363636,20.5909090909091,20.5909090909091,0.999545909090909,5,0.0568181818181818,-11.38828237126,1.61954891808727,0.626129626144091,0.8
"502","55",NA,2.8,0,5,NA,NA,8.16666666666667,0,999,NA,18,NA,-99903,-99903,-99903,NA,NA,NA,2.8
"513","56",NA,0,0,50,NA,NA,8,0,666.045779333333,NA,0.833333333333333,NA,1.03500333333333,NA,1.04166666666667,NA,NA,NA,0
"524","57",NA,0.3,0,23,12,4,1,0,0.946501,NA,12,12,1.01833,8,-0.1875,-13.1272970792,1.51545432986,0.589681490116,0.3
"535","58",NA,0,0,87,NA,NA,8,0,999,NA,5,NA,1.05167,NA,3.375,NA,NA,NA,0
"546","59",NA,0,0,74,NA,NA,8,0,0.0491798,NA,3,NA,0.685,NA,3.625,NA,NA,NA,0
"558","60",NA,0,0,85.5555555555556,NA,NA,8.38888888888889,0,222.218530044444,NA,12.5277777777778,NA,1.01352033333333,NA,2.89583333333333,NA,NA,NA,0
"569","61",NA,0,0,68,NA,NA,8,0,999,NA,4.5,NA,NA,NA,NA,NA,NA,NA,0
"580","62",NA,0,0,73,NA,NA,8,0,166.5456133675,NA,-6.125,NA,0.910556416666667,NA,0.682291666666667,NA,NA,NA,0
"591","63",0.2141934,0,0.0553936666666667,17.5,NA,NA,6.83333333333333,0,167.227579388889,NA,12.5,NA,0.951482055555556,-61050.5,1.38888888888889,NA,NA,NA,0
"602","64",NA,0,0,17,NA,NA,8,0,499.5,NA,-7,NA,0.6083335,NA,2.1875,NA,NA,NA,0
"613","65",NA,0,0,83,NA,NA,8,0,999,NA,1.5,NA,0.5323334,NA,-0.9875,NA,NA,NA,0
"624","66",NA,0,NA,4,NA,NA,8,0,0.138287881818182,NA,4.36363636363636,NA,0.676211727272727,1.63636363636364,2.64772727272727,NA,NA,NA,0
"635","67",NA,0,0,33,NA,NA,8,0,999,NA,13.9166666666667,NA,0.741666666666667,2.91666666666667,-0.385416666666667,NA,NA,NA,0
"646","68",NA,0,0,86.1666666666667,16.4166666666667,NA,8.16666666666667,0,666.330271333333,NA,8.41666666666667,NA,0.992779,NA,0.8125,NA,NA,NA,0
"657","69",NA,0,0,88,-9,NA,8,0,0.181789,NA,-13,NA,1.00833,NA,-5.5,NA,NA,NA,0
"669","70",NA,0,0,52.25,NA,NA,8.08333333333333,0,166.648256941667,NA,6.95833333333333,NA,0.863888583333333,-8322.41666666667,4.27604166666667,NA,NA,NA,0
"680","71",NA,0,0,78.7777777777778,NA,NA,8,0,166.619640172222,NA,10.25,NA,0.470740611111111,-11092.2222222222,-0.114583333333333,NA,NA,NA,0
"691","72",NA,0.3,0,65,NA,NA,8,0,999,NA,12,NA,1.05167,NA,-0.53125,NA,NA,NA,0.3
"702","73",NA,0,0,42,NA,NA,8,0,0,NA,7.08333333333333,NA,0.4655555,4.41666666666667,0.0520833333333333,NA,NA,NA,0
"713","74",NA,0,0,29,12,NA,9,0,999,NA,12,12,1.05167,-99901,-0.5,-12.9168128473,1.39831543604,0.556087323402,0
"724","75",NA,0,0,68,NA,NA,8,0,0.0321517833333333,NA,12.4166666666667,NA,0.344444333333333,-6.25,0.885416666666667,NA,NA,NA,0
"735","76",NA,0,0,99,NA,NA,1,0,999,NA,10,NA,1.03167,-99901,-0.6875,NA,NA,NA,0
"746","77",0.588655666666667,0,0.442971,69.4545454545455,20,NA,8.90909090909091,0,0.756790727272727,NA,17.7727272727273,NA,1.01984909090909,-45403.2727272727,0.465909090909091,NA,NA,NA,0
"757","78",NA,0,0,71,NA,NA,8,0,999,NA,3.5,NA,0.861667,NA,7.75,NA,NA,NA,0
"768","79",NA,0.5,0,10,NA,NA,5.08333333333333,0,0.8062225,NA,9,NA,1.00722291666667,NA,0.427083333333333,NA,NA,NA,0.5
"780","80",NA,0,0,50,NA,NA,8,0,0.04592588,NA,0.8,NA,0.662334,NA,2.7,NA,NA,NA,0
"791","81",NA,0,0,94,NA,NA,8,0,0.0762168,NA,1,NA,0.835,NA,1.65625,NA,NA,NA,0
"802","82",NA,0,0,54,NA,NA,8,0,399.767197,NA,-5.3,NA,1.0330026,NA,0.375,NA,NA,NA,0
"813","83",NA,0,0,95.75,NA,NA,8,0,249.8627417425,NA,15.5,NA,0.7800005,-12497,3.2734375,NA,NA,NA,0
"824","84",NA,0,0,37.1111111111111,NA,NA,8,0,111.076662055556,NA,8.05555555555556,NA,0.633148111111111,NA,1.76388888888889,NA,NA,NA,0
"835","85",NA,0,0,31,NA,NA,8,0,333.028917366667,NA,4.83333333333333,NA,NA,NA,NA,NA,NA,NA,0
"846","86",NA,0,0.117719142857143,13,13.3571428571429,13.2142857142857,1.85714285714286,0,0.757585857142857,NA,13.3571428571429,13.3571428571429,0.991666571428571,4.42857142857143,0.785714285714286,-13.5469794524286,1.84436672468714,0.738442370584143,0
"857","87",NA,0,0,51,NA,NA,8,0,999,NA,8.5,NA,0.371667,NA,2,NA,NA,NA,0
"868","88",NA,0,0,63,NA,NA,8,0,499.564302366667,NA,1.25,NA,0.807778333333333,NA,3.42708333333333,NA,NA,NA,0
"879","89",NA,0,0,55,NA,NA,8,0,0.13702455,NA,8.33333333333333,NA,0.553889,11.0833333333333,0.9375,NA,NA,NA,0
"891","90",NA,0,0,31,NA,NA,8,0,199.82965156,NA,-8.6,NA,0.9696694,NA,5.9375,NA,NA,NA,0
"902","91",NA,0.3,NA,73.72,NA,NA,6.36,0,120.54899924,NA,11.42,NA,0.92713424,NA,0.8425,NA,NA,NA,0.3
"913","92",NA,0,0,97,NA,NA,8,0,999,NA,5.33333333333333,NA,0.807222333333333,1.75,-2.44791666666667,NA,NA,NA,0
"924","93",NA,0,0,78,NA,NA,8,0,90.8638953909091,NA,14,NA,0.642273090909091,NA,3.5625,NA,NA,NA,0
"935","94",NA,0,0,82,NA,NA,3.33333333333333,0,0.599563166666667,NA,0.916666666666667,NA,1.01666783333333,9.91666666666667,-0.15625,NA,NA,NA,0
"946","95",NA,0,0,91,NA,NA,8,0,181.680738309091,NA,4.09090909090909,NA,0.714393909090909,NA,1.78977272727273,NA,NA,NA,0
"957","96",1.6673063,1.3,1.24879735714286,40,27.8928571428571,26.8214285714286,5,0,0.965922785714286,NA,27.7142857142857,27.7142857142857,0.988095285714286,-49953.1428571429,0.816964285714286,-10.3312662146636,1.93451155757714,0.741002107069643,1.3
"968","97",NA,0,0,47,NA,NA,8,0,999,NA,3.58333333333333,NA,0.878333333333333,1.25,3.29166666666667,NA,NA,NA,0
"979","98",NA,0,0,20,NA,NA,8,0,999,NA,9.17857142857143,NA,0.857857142857143,5.14285714285714,1.67857142857143,NA,NA,NA,0
"990","99",NA,0,0,36.0769230769231,NA,NA,7.46153846153846,0,0.516528923076923,NA,-0.538461538461538,NA,0.979103769230769,NA,0.341346153846154,NA,NA,NA,0
"3","100",4.62693342222222,2,3.89984450980392,57.6666666666667,NA,NA,7.68627450980392,0,20.4836313333333,NA,29.7156862745098,NA,0.987941509803922,NA,0.677696078431373,NA,NA,NA,2
"5","101",NA,0,0,12,NA,NA,8,0,0.17474313,NA,0,NA,NA,NA,NA,NA,NA,NA,0
"6","102",NA,0,0,8,NA,NA,8,0,999,NA,9,NA,1.04167,NA,2.3125,NA,NA,NA,0
"7","103",NA,0,0,68.8571428571429,NA,NA,7,0,143.115881,NA,3,NA,0.813571285714286,5.78571428571429,-0.821428571428571,NA,NA,NA,0
"8","104",NA,0,0,16,NA,NA,7.42857142857143,0,999,NA,3.5,NA,0.656904714285714,-2.64285714285714,0.964285714285714,NA,NA,NA,0
"9","105",NA,0,0,33,NA,NA,8,0,0,NA,6.46153846153846,-99903,0.717051230769231,-2.53846153846154,0.817307692307692,NA,NA,NA,0
"10","106",NA,0,0,51,NA,NA,8,0,999,NA,-8.3,NA,0.9183348,NA,4.8,NA,NA,NA,0
"11","107",NA,0,0,76,NA,NA,8,0,0.22954628,NA,-2.15,NA,0.8610006,NA,2.925,NA,NA,NA,0
"12","108",NA,0,0,55.6,NA,NA,8,0,199.9287732,NA,7.5,NA,NA,NA,NA,NA,NA,NA,0
"13","109",NA,0,0,78,NA,NA,8,0,0.07967052,NA,1,NA,0.8283334,NA,2.825,NA,NA,NA,0
"15","110",NA,0,0,77.75,NA,NA,7.125,0,125.2358363875,NA,9.8125,NA,1.016667125,NA,-1.109375,NA,NA,NA,0
"16","111",NA,0,0,43,NA,NA,8,0,0.0433389615384615,NA,13.6538461538462,NA,0.582692307692308,-6.69230769230769,0.860576923076923,NA,NA,NA,0
"17","112",NA,0,0,56,NA,NA,8,0,0,NA,8.30769230769231,-99903,0.831153923076923,NA,-0.543269230769231,NA,NA,NA,0
"18","113",0.712876333333333,0,0.207335636363636,53,20.4090909090909,NA,5.90909090909091,0,0.940340909090909,NA,15,15,1.00469745454545,NA,0.494318181818182,NA,NA,NA,0
"19","114",NA,0,0,64.8571428571429,NA,NA,8,0,856.420443,NA,9.78571428571429,NA,0.660238571428571,NA,7.09821428571429,NA,NA,NA,0
"20","115",NA,0,0,82,NA,NA,8,0,83.396629,NA,1.45833333333333,NA,NA,NA,NA,NA,NA,NA,0
"21","116",NA,0,0,89,NA,NA,8,0,0,NA,10,NA,0.945,NA,-7.875,NA,NA,NA,0
"22","117",5.99950333333333,0.5,1.46088222222222,60.8888888888889,NA,NA,8.33333333333333,0,222.478927944444,NA,22.9444444444444,NA,1.01277922222222,NA,1.07638888888889,NA,NA,NA,0.5
"23","118",NA,0,0,82,NA,NA,8,0,0,NA,12.5,NA,1.04167,1,-1.5625,NA,NA,NA,0
"24","119",NA,0,0,68,NA,NA,8,0,0.13089276,NA,6.33333333333333,NA,0.723519,NA,3.97916666666667,NA,NA,NA,0
"26","120",NA,0,0,87,NA,NA,8,0,499.9599785,NA,15.25,NA,1.05167,-99901,-0.125,NA,NA,NA,0
"27","121",NA,0,0,32,NA,NA,8,0,999,NA,4.95,NA,0.75,-3.15,2.9875,NA,NA,NA,0
"28","122",NA,0,0,97,NA,NA,8,0,999,NA,2.33333333333333,NA,0.710556666666667,NA,4.83333333333333,NA,NA,NA,0
"29","123",NA,0.3,0,77,NA,NA,8,0,999,NA,16,NA,-99903,-99903,-99903,NA,NA,NA,0.3
"30","124",NA,0,0,49,NA,NA,8,0,0,NA,-12.3333333333333,NA,0.960557666666667,NA,1.5625,NA,NA,NA,0
"31","125",0.920030764705882,2.8,0.603192285714286,34,NA,24.2142857142857,9,0,0.910779380952381,NA,21.5238095238095,NA,0.961507857142857,-38056.7619047619,-0.136904761904762,NA,NA,NA,2.8
"32","126",NA,0,0,49,NA,NA,8,0,0.0323447,NA,0,NA,0.778333,NA,4.25,NA,NA,NA,0
"33","127",NA,1284,0,18,NA,NA,8,0,999,NA,5,NA,NA,NA,NA,NA,NA,NA,1284
"34","128",NA,0,0,74,NA,NA,8,0,0.05904618,NA,-2.8,NA,0.7316672,NA,4.725,NA,NA,NA,0
"35","129",NA,0,0,10.5,NA,NA,7.33333333333333,0,0.274106516666667,NA,10.5833333333333,NA,0.627499916666667,2.45833333333333,1.01041666666667,NA,NA,NA,0
"37","130",NA,0,0,58,NA,NA,8,0,0,NA,1.75,NA,0.97750175,NA,3.1875,NA,NA,NA,0
"38","131",NA,0,NA,25,27.6,NA,3.4,0,0.9863292,NA,25.3,25.3,1.0070004,-13.2,0.85,NA,NA,NA,0
"39","132",NA,0,0,72,NA,NA,8,0,999,NA,1.7,NA,0.8449994,-5.9,2.5625,NA,NA,NA,0
"40","133",NA,0,0,25,NA,NA,8,0,0,NA,4.5,NA,NA,NA,NA,NA,NA,NA,0
"41","134",NA,0,0,40,NA,NA,8,0,999,NA,-1.5,NA,NA,NA,NA,NA,NA,NA,0
"42","135",NA,0,0,94.2,24.2,NA,9,0,999,NA,24.2,24.2,-99903,-99903,-99903,NA,NA,NA,0
"43","136",NA,0,0,62,NA,NA,8,0,0,NA,-3.5,NA,1.023335,1,0.71875,NA,NA,NA,0
"44","137",1.08468052941176,1,0.496009147058824,53.8235294117647,20.0735294117647,NA,8.38235294117647,0,0.950540323529412,NA,19.8382352941176,19.8382352941176,0.983823705882353,-58771,0.242647058823529,-11.6939890030444,1.70002046711765,0.663506884794265,1
"45","138",0.20176225,0,0.0459268095238095,54.9523809523809,NA,NA,8.71428571428571,0,0.61760519047619,NA,13.3095238095238,NA,1.03896952380952,NA,0.181547619047619,NA,NA,NA,0
"46","139",NA,0,0,16,NA,NA,8,0,999,NA,20.5,NA,0.7805555,4.08333333333333,3.125,NA,NA,NA,0
"48","140",NA,1.3,0,8,NA,NA,8,0,999,NA,13.5,NA,1.05167,NA,1.75,NA,NA,NA,1.3
"49","141",NA,0,0,33,NA,NA,8,0,0,NA,-1.91666666666667,-99903,0.417222166666667,-2.25,1.20833333333333,NA,NA,NA,0
"50","142",NA,0,0,17,NA,NA,8,0,999,NA,-3.1,NA,0.807,NA,-3.825,NA,NA,NA,0
"51","143",NA,0,0,64,NA,NA,8,0,999,NA,14.1666666666667,NA,0.860555666666667,2.66666666666667,3.27083333333333,NA,NA,NA,0
"52","144",2.16792422222222,0.5,0.628735115384615,50.6923076923077,NA,NA,6.92307692307692,0,77.6065897076923,NA,16.1730769230769,NA,0.977692769230769,NA,0.0336538461538462,NA,NA,NA,0.5
"53","145",NA,0,0,46,NA,NA,8,0,999,NA,5.16666666666667,NA,0.824444333333333,3.33333333333333,4.36458333333333,NA,NA,NA,0
"54","146",NA,0,0,4,NA,NA,8,0,399.66783392,NA,-1.6,NA,0.6896666,-7.1,1.2625,NA,NA,NA,0
"55","147",NA,0,0,15,NA,NA,8,0,0.1003129525,NA,2.125,NA,0.3816665,NA,1.796875,NA,NA,NA,0
"56","148",NA,0,0,37,NA,NA,8,0,999,NA,-0.357142857142857,NA,0.632619,2.35714285714286,1.16071428571429,NA,NA,NA,0
"57","149",0.7224248,0,0.277855692307692,62.0769230769231,18.6538461538462,NA,1.53846153846154,0,0.880749615384615,NA,15.9615384615385,NA,0.996282538461538,-69163.3846153846,0.403846153846154,NA,NA,NA,0
"59","150",NA,0,0,67,NA,NA,8,0,333.0110214,NA,-0.833333333333333,NA,0.978333333333333,NA,0.9375,NA,NA,NA,0
"60","151",NA,0,0,27,NA,NA,8,0,0,NA,-8.5,NA,1.05167,0.75,0.859375,NA,NA,NA,0
"61","152",NA,0,0,30,NA,NA,8,0,666.035125666667,NA,4,NA,0.656111333333333,NA,4.75,NA,NA,NA,0
"62","153",1.55756081818182,0,0.743945260869565,60.5652173913044,NA,NA,5.78260869565217,0,44.2947154347826,NA,17,NA,1.00558043478261,NA,0.589673913043478,NA,NA,NA,0
"63","154",NA,0,0,28,NA,NA,7.66666666666667,0,166.546431375,NA,2.75,NA,0.641111166666667,NA,0.927083333333333,NA,NA,NA,0
"64","155",NA,0,0,79,NA,NA,8,0,0,NA,-1.625,NA,0.644999,NA,3.875,NA,NA,NA,0
"65","156",1.62418828571429,0,0.15715652,74.12,NA,NA,5.32,0,0.77936256,NA,16.44,NA,0.98233376,NA,0.8875,NA,NA,NA,0
"66","157",NA,0,0,83,NA,NA,8,0,999,NA,4.5,NA,1.05167,NA,7.9375,NA,NA,NA,0
"67","158",NA,0,0,34,NA,NA,8,0,999,NA,8.5,NA,1.05167,NA,0.375,NA,NA,NA,0
"68","159",NA,0,0,39,NA,NA,8,0,0.0327775333333333,NA,0.916666666666667,NA,NA,NA,NA,NA,NA,NA,0
"70","160",NA,0,0,1,NA,NA,8,0,999,NA,11.6666666666667,NA,1.05167,NA,1.97916666666667,NA,NA,NA,0
"71","161",NA,0,0,78,NA,NA,8,0,0,NA,-10.6666666666667,NA,0.785556,0.333333333333333,1.89583333333333,NA,NA,NA,0
"72","162",NA,0,0,61,NA,NA,8,0,999,NA,9.5,NA,NA,NA,NA,NA,NA,NA,0
"73","163",NA,0,0,52,NA,NA,8,0,142.860044828571,NA,3.64285714285714,NA,0.671666571428571,-14265.5,1.75,NA,NA,NA,0
"74","164",NA,0,0,50,NA,NA,8,0,999,NA,16.5,NA,-99903,-99903,-99903,NA,NA,NA,0
"75","165",NA,0,0,8,NA,NA,8,0,0,NA,-3.875,NA,0.89750075,NA,3.875,NA,NA,NA,0
"76","166",NA,0,0,77,NA,NA,8,0,999,NA,-5.5,NA,0.965556666666667,NA,4.28125,NA,NA,NA,0
"77","167",NA,0,0,64,NA,NA,8,0,199.8774623,NA,2.8,NA,0.6183334,NA,1.225,NA,NA,NA,0
"78","168",5.7599891,0,1.79098710714286,69.7857142857143,NA,NA,6.35714285714286,0,36.2990109142857,NA,18.25,NA,NA,NA,NA,NA,NA,NA,0
"79","169",NA,0.3,0,27,NA,NA,7,0,0.755071,NA,-0.5,NA,1.05167,NA,-0.8125,NA,NA,NA,0.3
"81","170",NA,0,0,55,NA,NA,7.33333333333333,0,0.5062543,NA,10.6666666666667,NA,0.858333333333333,-14.0833333333333,0.59375,NA,NA,NA,0
"82","171",NA,0,0,45,NA,NA,8,0,0.069013,NA,3.25,NA,0.55,NA,4.59375,NA,NA,NA,0
"83","172",1.09929733333333,1.3,0.419383333333333,32.6666666666667,NA,NA,8.72222222222222,0,55.7514195555556,NA,22.3333333333333,NA,-33300.3542591111,-33301.9722222222,-33301.0833333333,NA,NA,NA,1.3
"84","173",NA,0,0,22,NA,NA,6.33333333333333,0,0.586583,NA,7.08333333333333,NA,0.792222333333333,-11.1666666666667,1.08333333333333,NA,NA,NA,0
"85","174",NA,0,0,46.5714285714286,NA,NA,8,0,0,NA,4.42857142857143,NA,0.729285571428571,NA,3.46428571428571,NA,NA,NA,0
"86","175",NA,0,0,10,NA,NA,8,0,999,NA,10,NA,1.00833,NA,2.6875,NA,NA,NA,0
"87","176",NA,0,0,80,NA,NA,8,0,333.04479,NA,5.66666666666667,NA,0.889445333333333,NA,4.5625,NA,NA,NA,0
"88","177",NA,0,0,93,NA,NA,8,0,999,NA,2.5,NA,NA,NA,NA,NA,NA,NA,0
"89","178",NA,0,0,73,NA,NA,8,0,0.05043235,NA,-1.7,NA,0.736667,NA,3.06875,NA,NA,NA,0
"90","179",0.205355,0,0.041071,87,NA,NA,5.2,0,399.9992558,NA,10.7,NA,-19979.851332,NA,-19980.1125,NA,NA,NA,0
"92","180",NA,0,0,98,NA,NA,8,0,499.584573,NA,3.5,NA,0.5916665,NA,-1.125,NA,NA,NA,0
"93","181",NA,0,0,56,NA,NA,8,0,0,NA,-4.75,NA,0.74583425,NA,2.65625,NA,NA,NA,0
"94","182",NA,0,0,2,NA,NA,8,0,0,NA,6,NA,0.495,NA,5.3125,NA,NA,NA,0
"95","183",NA,0,0,91,NA,NA,8,0,999,NA,10.5,NA,0.925,-99901,-7.875,NA,NA,NA,0
"96","184",NA,0,0,41,NA,NA,8,0,0.156184833333333,NA,-7.25,NA,0.993334333333333,1.41666666666667,2.13541666666667,NA,NA,NA,0
"97","185",NA,0,0,8,NA,NA,8,0,666,NA,-4.66666666666667,NA,NA,NA,NA,NA,NA,NA,0
"98","186",NA,0,0,1,NA,-99903,8,0,0,NA,-6.91666666666667,-99903,0.706111,-1.41666666666667,3.38541666666667,NA,NA,NA,0
